neighbours_threshold,points_threshold,coop_rate
1,1,0.3308861111111111
1,2,0.4209638888888889
1,3,0.4821347222222222
1,4,0.5704236111111111
1,5,0.6549027777777777
1,6,0.7118055555555556
1,7,0.7536777777777778
1,8,0.7353069444444444
1,9,0.7397458333333333
1,10,0.7621069444444445
1,11,0.7232402777777778
1,12,0.7566513888888889
1,13,0.7377513888888889
1,14,0.7266666666666667
1,15,0.7533333333333333
1,16,0.77
1,17,0.7311111111111112
1,18,0.7588888888888888
1,19,0.7577777777777778
1,20,0.7655555555555555
1,21,0.7788888888888889
1,22,0.7555555555555555
1,23,0.7411111111111112
1,24,0.74
1,25,0.7611111111111111
1,26,0.7511111111111111
1,27,0.7566666666666667
1,28,0.7622222222222222
1,29,0.7288888888888889
1,30,0.7644444444444445
1,31,0.7377777777777778
1,32,0.7444444444444445
1,33,0.7355555555555555
1,34,0.7444444444444445
1,35,0.7233333333333334
1,36,0.7533333333333333
1,37,0.7755555555555556
1,38,0.7388888888888889
1,39,0.7477777777777778
1,40,0.7444444444444445
2,1,0.36712222222222224
2,2,0.4694097222222222
2,3,0.5265986111111111
2,4,0.6097333333333333
2,5,0.6694777777777777
2,6,0.7185666666666667
2,7,0.7468166666666667
2,8,0.7286263888888889
2,9,0.7508555555555556
2,10,0.7376944444444444
2,11,0.7510083333333334
2,12,0.7199791666666666
2,13,0.7422055555555556
2,14,0.7377777777777778
2,15,0.7822222222222223
2,16,0.7288888888888889
2,17,0.7811111111111111
2,18,0.7633333333333333
2,19,0.7822222222222223
2,20,0.7666666666666667
2,21,0.74
2,22,0.7455555555555555
2,23,0.75
2,24,0.7377777777777778
2,25,0.7466666666666667
2,26,0.7522222222222222
2,27,0.7666666666666667
2,28,0.7722222222222223
2,29,0.7588888888888888
2,30,0.7755555555555556
2,31,0.7511111111111111
2,32,0.7722222222222223
2,33,0.7311111111111112
2,34,0.7544444444444445
2,35,0.7522222222222222
2,36,0.75
2,37,0.7466666666666667
2,38,0.7677777777777778
2,39,0.7533333333333333
2,40,0.7322222222222222
3,1,0.6143291666666667
3,2,0.5731527777777777
3,3,0.5876402777777778
3,4,0.6186486111111111
3,5,0.6838555555555555
3,6,0.7054916666666666
3,7,0.7467208333333333
3,8,0.7408625
3,9,0.75865
3,10,0.7643152777777777
3,11,0.7721138888888889
3,12,0.7477527777777778
3,13,0.7444277777777778
3,14,0.7633333333333333
3,15,0.7255555555555555
3,16,0.7366666666666667
3,17,0.7433333333333333
3,18,0.7544444444444445
3,19,0.7333333333333333
3,20,0.7633333333333333
3,21,0.7666666666666667
3,22,0.7266666666666667
3,23,0.7522222222222222
3,24,0.7188888888888889
3,25,0.7588888888888888
3,26,0.7755555555555556
3,27,0.76
3,28,0.7844444444444445
3,29,0.7566666666666667
3,30,0.74
3,31,0.7611111111111111
3,32,0.7611111111111111
3,33,0.7422222222222222
3,34,0.7455555555555555
3,35,0.7511111111111111
3,36,0.7511111111111111
3,37,0.7577777777777778
3,38,0.7522222222222222
3,39,0.74
3,40,0.7433333333333333
4,1,0.6999097222222223
4,2,0.6125166666666667
4,3,0.6262430555555556
4,4,0.6464833333333333
4,5,0.6658402777777778
4,6,0.7232666666666666
4,7,0.7347125
4,8,0.7464194444444444
4,9,0.7742111111111111
4,10,0.7332361111111111
4,11,0.7254680555555556
4,12,0.7466430555555555
4,13,0.7610847222222222
4,14,0.7555555555555555
4,15,0.7611111111111111
4,16,0.7255555555555555
4,17,0.76
4,18,0.7366666666666667
4,19,0.7655555555555555
4,20,0.7433333333333333
4,21,0.7422222222222222
4,22,0.7522222222222222
4,23,0.7688888888888888
4,24,0.7366666666666667
4,25,0.7544444444444445
4,26,0.74
4,27,0.7477777777777778
4,28,0.7522222222222222
4,29,0.7277777777777777
4,30,0.74
4,31,0.7355555555555555
4,32,0.7711111111111111
4,33,0.7333333333333333
4,34,0.7322222222222222
4,35,0.7355555555555555
4,36,0.74
4,37,0.7288888888888889
4,38,0.7822222222222223
4,39,0.7633333333333333
4,40,0.7244444444444444
5,1,0.6878944444444445
5,2,0.6196902777777777
5,3,0.6293819444444444
5,4,0.6315958333333334
5,5,0.6834208333333334
5,6,0.7095555555555556
5,7,0.6989833333333333
5,8,0.7575583333333333
5,9,0.7386458333333333
5,10,0.7554555555555555
5,11,0.7588013888888889
5,12,0.7466402777777777
5,13,0.7399888888888889
5,14,0.74
5,15,0.7433333333333333
5,16,0.7533333333333333
5,17,0.7422222222222222
5,18,0.7622222222222222
5,19,0.7511111111111111
5,20,0.7455555555555555
5,21,0.7544444444444445
5,22,0.7522222222222222
5,23,0.7455555555555555
5,24,0.7544444444444445
5,25,0.72
5,26,0.7333333333333333
5,27,0.7333333333333333
5,28,0.7411111111111112
5,29,0.75
5,30,0.7511111111111111
5,31,0.7433333333333333
5,32,0.7644444444444445
5,33,0.7455555555555555
5,34,0.7244444444444444
5,35,0.7522222222222222
5,36,0.7466666666666667
5,37,0.7755555555555556
5,38,0.7922222222222223
5,39,0.7388888888888889
5,40,0.7588888888888888
6,1,0.6751138888888889
6,2,0.6322388888888889
6,3,0.6197013888888889
6,4,0.6289625
6,5,0.6719444444444445
6,6,0.7230694444444444
6,7,0.7297972222222222
6,8,0.7519777777777777
6,9,0.7364361111111111
6,10,0.7543333333333333
6,11,0.748775
6,12,0.7810805555555556
6,13,0.7544236111111111
6,14,0.7544444444444445
6,15,0.76
6,16,0.7388888888888889
6,17,0.75
6,18,0.7422222222222222
6,19,0.7477777777777778
6,20,0.77
6,21,0.7444444444444445
6,22,0.7322222222222222
6,23,0.7733333333333333
6,24,0.7677777777777778
6,25,0.7188888888888889
6,26,0.7477777777777778
6,27,0.7288888888888889
6,28,0.7311111111111112
6,29,0.7411111111111112
6,30,0.7877777777777778
6,31,0.7433333333333333
6,32,0.7522222222222222
6,33,0.7633333333333333
6,34,0.7522222222222222
6,35,0.7622222222222222
6,36,0.7533333333333333
6,37,0.7522222222222222
6,38,0.7577777777777778
6,39,0.7155555555555555
6,40,0.7422222222222222
7,1,0.7078430555555556
7,2,0.6274277777777778
7,3,0.6457722222222222
7,4,0.6519069444444444
7,5,0.6735333333333333
7,6,0.7319263888888888
7,7,0.7527986111111111
7,8,0.7342305555555556
7,9,0.7764416666666667
7,10,0.7387888888888889
7,11,0.7721166666666667
7,12,0.7688625
7,13,0.7677541666666666
7,14,0.7244444444444444
7,15,0.7566666666666667
7,16,0.7566666666666667
7,17,0.7422222222222222
7,18,0.7733333333333333
7,19,0.7611111111111111
7,20,0.7466666666666667
7,21,0.7588888888888888
7,22,0.7422222222222222
7,23,0.7433333333333333
7,24,0.7544444444444445
7,25,0.7555555555555555
7,26,0.7722222222222223
7,27,0.74
7,28,0.7444444444444445
7,29,0.7433333333333333
7,30,0.7611111111111111
7,31,0.7422222222222222
7,32,0.7566666666666667
7,33,0.7455555555555555
7,34,0.76
7,35,0.7588888888888888
