0,386,758,2092,0,1518,1830,
1,610,1418,3866,518,3034,3728,
2,926,1953,5640,1087,4544,5646,
3,1264,2523,7420,1595,6052,7560,
4,1592,3078,9234,2094,7566,9460,
5,1922,3678,10948,2635,9078,11354,
6,2212,4268,12672,3209,10596,13262,
7,2564,4823,14384,3783,12110,15170,
8,2866,5428,16138,4317,13612,17080,
9,3182,5993,17930,4846,15116,18986,
10,3522,6573,19676,5382,16620,20892,
11,3812,7193,21460,5875,18122,22812,
12,4138,7813,23146,6444,19622,24700,
13,4456,8448,24842,6993,21122,26596,
14,4716,9153,26556,7490,22626,28504,
15,4988,9753,28322,8036,24136,30416,
16,5208,10428,30054,8586,25640,32324,
17,5478,11058,31792,9133,27142,34244,
18,5760,11673,33552,9657,28652,36158,
19,6060,12233,35366,10169,30178,38058,
20,6372,12853,37106,10684,31690,39952,
21,6632,13473,38860,11239,33204,41834,
22,6972,14013,40592,11821,34714,43754,
23,7236,14653,42372,12328,36220,45656,
24,7526,15248,44106,12905,37730,47550,
